,Julian Day,Julian Day QC,Latitude,Longitude,Position QC,Pressure,Pressure QC,Temperature Adjusted,Temperature Adjusted QC,Temperature,Temperature QC,Salinity Adjusted,Salinity Adjusted QC,Salinity,Salinity QC,Oxygen,Oxygen QC,Nitrate,Nitrate QC,pH,pH QC,Yearday
54,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,111.80000305175781,1.0,19.798740590481156,1.0,19.8439998626709,1.0,35.721970888532056,1.0,35.55400085449219,1.0,196.7661590576172,1.0,2.053849697113037,1.0,8.026453018188477,1.0,130.32278936128296
59,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,121.80000305175781,1.0,19.258499081600174,1.0,19.30500030517578,1.0,35.71091990823467,1.0,35.542999267578125,1.0,192.490234375,1.0,2.897585391998291,1.0,8.011821746826172,1.0,130.32278936128296
64,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,131.8000030517578,1.0,18.8536048431875,1.0,18.902000427246094,1.0,35.72199494867246,1.0,35.55400085449219,1.0,194.51577758789062,1.0,2.8689088821411133,1.0,8.013120651245117,1.0,130.32278936128296
69,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,141.8000030517578,1.0,18.373130931474304,1.0,18.42300033569336,1.0,35.72398629480833,1.0,35.555999755859375,1.0,195.50401306152344,1.0,3.055502414703369,1.0,8.010396957397461,1.0,130.32278936128296
74,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,151.8000030517578,1.0,18.093451402449986,1.0,18.145000457763672,1.0,35.73002508776826,1.0,35.5620002746582,1.0,196.92457580566406,1.0,3.2903709411621094,1.0,8.010509490966797,1.0,130.32278936128296
79,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,161.8000030517578,1.0,17.83483177555957,1.0,17.88800048828125,1.0,35.7350570435849,1.0,35.56700134277344,1.0,199.18690490722656,1.0,3.303661346435547,1.0,8.012384414672852,1.0,130.32278936128296
84,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,171.8000030517578,1.0,17.726708874491738,1.0,17.781999588012695,1.0,35.75315088978603,1.0,35.584999084472656,1.0,204.5670928955078,1.0,3.2975053787231445,1.0,8.022570610046387,1.0,130.32278936128296
89,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,181.8000030517578,1.0,17.579174409679233,1.0,17.63599967956543,1.0,35.75315232442543,1.0,35.584999084472656,1.0,204.5824432373047,1.0,3.350437879562378,1.0,8.0219087600708,1.0,130.32278936128296
93,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,189.8000030517578,1.0,17.50690288902398,1.0,17.565000534057617,1.0,35.75316526366618,1.0,35.584999084472656,1.0,205.0027618408203,1.0,3.392212390899658,1.0,8.020706176757812,1.0,130.32278936128296
99,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,201.8000030517578,1.0,17.36120404437984,1.0,17.42099952697754,1.0,35.74814465097974,1.0,35.58000183105469,1.0,204.80018615722656,1.0,3.478616952896118,1.0,8.018796920776367,1.0,130.32278936128296
